,artist_name,track_name,track_id,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
524342,Berkay Altunyay,Olmazlara İnat,11AkXmBdjwu4upt22GjJrG,71,singer-songwriter,0.581,0.495,4,-13.087,0,0.0658,0.185,2.96e-06,0.0479,0.184,85.043,4
515908,Arijit Singh,"Mere Yaaraa (From ""Sooryavanshi"")",0tpwqQhdfJXRcUDSNRjb9O,71,pop-film,0.324,0.539,2,-8.076,1,0.038,0.713,3.15e-05,0.118,0.486,120.526,4
462035,Taylor Swift,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,71,pop,0.559,0.31,10,-10.445,1,0.0338,0.881,0.0,0.106,0.46,119.845,4
197576,Chris Brown,Ayo,0k6DnZMLoEUH8NGD5zh2SE,71,pop,0.823,0.563,6,-5.095,1,0.0443,0.0399,0.0,0.0851,0.682,98.031,4
328677,6ix9ine,BEBE,3eqOaTqnyb0GEgv6JInG6W,71,emo,0.635,0.902,0,-3.559,1,0.109,0.172,0.0,0.125,0.285,102.062,4
462032,Taylor Swift,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,71,pop,0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-05,0.108,0.45,83.433,4
462029,Tems,Higher,2QdSb68BzZGMgCbsrFmSLc,71,pop,0.609,0.581,2,-10.854,1,0.277,0.509,0.0,0.283,0.528,102.964,3
329572,flora cash,You're Somebody Else,0pdKRp2sUthTPe7RLWpPqQ,71,folk,0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,4
329582,George Ezra,Hold My Girl,42bbDWZ8WmXTH7PkYAlGLu,71,folk,0.614,0.527,10,-6.374,1,0.0302,0.597,0.0,0.11,0.354,121.941,4
520503,Los Del Limit,Amor Fugaz,4O2bxKTnK9En7OPw8kGDDF,71,sad,0.587,0.411,8,-8.758,1,0.0475,0.185,0.0,0.273,0.53,140.277,4
520518,Grupo Los de la O,El Fat Tony,3viZLBs5sOsNFL9JMfuqZN,71,sad,0.709,0.805,8,-5.361,1,0.0495,0.509,0.0,0.167,0.737,99.042,3
